Series Name,Series Code,Country Name,Country Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974]
SG.VAW.AFSX.ZS,,Proportion of women who have ever experienced any form of sexual violence (% of women ages 15-49),Proportion of women who have ever experienced any form of sexual violence is the percentage of women ages 15-49 who ever experienced sexual violence.,Demographic and Health Surveys (DHS) Statcompiler (https://www.statcompiler.com/),Violence,,,,"Demographic and Health Surveys (DHS) are nationally-representative household surveys that provide data for a wide range of monitoring and impact evaluation indicators in the areas of population, health, and nutrition. The surveys use model quesionnaires that contain a core set of questions that span all questionnaires, in addition to country-specific questions. Surveys have large sample sizes (usually between 5,000 and 30,000 households) and are typically conducted about every 5 years, to allow comparisons over time. The time to complete a survey depends on survey type, survey instruments, and sample size. Eligible households and individuals are usually obtained in a sampling frame from the National Statistics Office of the country. The time it takes to conduct all interviews is on average 18-20 months. 

Data on domestic violence in DHS surveys comes from an optional module of questions. Thus, indicators in this chapter are available for some, but not all countries. Additionally, The DHS Program, in accordance with the WHO guidelines “Putting Women First: Ethical and Safety Recommendations for Research on Domestic Violence against Women” World Health Organization, 2001, randomly selects only one woman per household among all eligible women in the household selected for the individual questionnaire for this module. Thus, the number of women who have information for domestic violence will always be less than the number of women selected for the complete DHS individual interview.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children.","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,
SG.VAW.IPVE.ZS,,Proportion of women who have ever experienced intimate partner violence (% of ever-partnered women ages 15-49),Proportion of women who have ever experienced intimate partner violence is the percentage of ever-married women (ages 15 - 49) who have ever experienced physical or sexual violence committed by their husband or partner.,Demographic and Health Surveys (DHS) Statcompiler (https://www.statcompiler.com/),Violence,,,,"Demographic and Health Surveys (DHS) are nationally-representative household surveys that provide data for a wide range of monitoring and impact evaluation indicators in the areas of population, health, and nutrition. The surveys use model quesionnaires that contain a core set of questions that span all questionnaires, in addition to country-specific questions. Surveys have large sample sizes (usually between 5,000 and 30,000 households) and are typically conducted about every 5 years, to allow comparisons over time. The time to complete a survey depends on survey type, survey instruments, and sample size. Eligible households and individuals are usually obtained in a sampling frame from the National Statistics Office of the country. The time it takes to conduct all interviews is on average 18-20 months. 

Data on domestic violence in DHS surveys comes from an optional module of questions. Thus, indicators in this chapter are available for some, but not all countries. Additionally, The DHS Program, in accordance with the WHO guidelines “Putting Women First: Ethical and Safety Recommendations for Research on Domestic Violence against Women” World Health Organization, 2001, randomly selects only one woman per household among all eligible women in the household selected for the individual questionnaire for this module. Thus, the number of women who have information for domestic violence will always be less than the number of women selected for the complete DHS individual interview.

 A large part of the domestic violence module asks about violence perpetrated by the current husband/partner for women who are currently married and the most recent husband/partner for women who are currently divorced, separated or widowed. Thus, women who have been ever-married are asked many more questions about their experience of violence than women who have never been married. Note also that ever-married women are women who self-report as being married, divorced, separated, or widowed, or living with or having ever lived with a man as if married. Thus, a “partner” is a man with whom the respondent lives with or lived with as if married. A previous husband/partner is a husband/partner other than the current husband/partner for currently married women and the most recent husband/partner for divorced, separated, or widowed women.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children.","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,
SG.VAW.15PL.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 15+)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 15+ who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.1519.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 15-19)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 15-19 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.1549.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 15-49)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 15-49 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.2024.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 20-24)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 20-24 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.2529.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 25-29)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women age 25-29 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.3034.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 30-34)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 30-34 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.4554.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 45-54)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 45-54 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.3544.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 35-44)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 35-44 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.5564.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 55-64)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 55-64 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.65PL.LT.ME.ZS,CC BY-4.0,"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 65+)","Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 65+ who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)",Violence,Percent,Annual,Weighted average,"The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SG.VAW.HLPV.ZS,,Proportion of women who have sought help to stop physical or sexual violence (% of ever-married women ages 15-49),Proportion of women who have sought help to stop physical or sexual violence is the percentage of ever-married women ages 15-49 who have ever experienced any physical or sexual violence who have sought help to stop violence.,Demographic and Health Surveys (DHS) Statcompiler (https://www.statcompiler.com/),Violence,,,,"Demographic and Health Surveys (DHS) are nationally-representative household surveys that provide data for a wide range of monitoring and impact evaluation indicators in the areas of population, health, and nutrition. The surveys use model quesionnaires that contain a core set of questions that span all questionnaires, in addition to country-specific questions. Surveys have large sample sizes (usually between 5,000 and 30,000 households) and are typically conducted about every 5 years, to allow comparisons over time. The time to complete a survey depends on survey type, survey instruments, and sample size. Eligible households and individuals are usually obtained in a sampling frame from the National Statistics Office of the country. The time it takes to conduct all interviews is on average 18-20 months. 

Data on domestic violence in DHS surveys comes from an optional module of questions. Thus, indicators in this chapter are available for some, but not all countries. Additionally, The DHS Program, in accordance with the WHO guidelines “Putting Women First: Ethical and Safety Recommendations for Research on Domestic Violence against Women” World Health Organization, 2001, randomly selects only one woman per household among all eligible women in the household selected for the individual questionnaire for this module. Thus, the number of women who have information for domestic violence will always be less than the number of women selected for the complete DHS individual interview.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children.","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,
